,name,salary_from,salary_to,days,company,city
1142,официант,,30000,27,Анастасиади Иван Иванович,Краснодар
1143,менеджер,25000,30000,27,ТВИЛ,Ялта
1144,директор ресторана,60000,,27,Сеть ресторанов РИС,
1145,повар,26400,,27,Alean Family Resort Collection,
1146,повар,26400,,27,Alean Family Resort Collection,
1147,повар,26400,,27,Alean Family Resort Collection,Геленджик
1148,повар-универсал гипермаркета,26500,32300,27,"МАГНИТ, Розничная сеть",
1149,повар-универсал гипермаркета,29400,34900,27,"МАГНИТ, Розничная сеть",
1150,бармен,20000,,27,Форум,Краснодар
1151,менеджер,22000,22000,27,Отель менеджмент,Анапа
1152,повар,25000,50000,27,Санта Барбара,
1153,разнорабочий-дворник,22000,,27,Роза Хутор,
1154,шеф-повар,60000,,27,База отдыха Рига,
1155,управляющий,40000,,27,Туристический комплекс Арго,
1156,пекарь-кондитер,25000,40000,27,Степанян Арсен Степанович ,Алушта
1157,повар холодного,30000,,28,ФГАУ ОК Дагомыс УДП РФ,Сочи
1158,повар горячего,30000,,28,ФГАУ ОК Дагомыс УДП РФ,Сочи
1159,повар-универсал,,50000,28,Туристический комплекс Прибой,
1160,бортпроводник вип-яхты,120000,150000,28,Школа стюардесс «Marina-School»,Краснодар
1161,менеджер,25000,35000,28,"Суши Шоп, г. Адлер",
1162,повар,25000,,29,Гурман,
1163,повар,30000,,29,"Аппетит Resto, г. Краснодар",Краснодар
1164,повар горячего,28000,35000,29,Продукт-Сервис,Краснодар
1165,кассир раздатчик,23000,35000,29,Меньшов Игорь Олегович,Краснодар
1166,повар,25000,35000,29,Пироговая страна №1,
1167,администратор,25000,35000,29,Пироговая страна №1,
1168,повар,12000,,30,Частная гостиница,
1169,официант,25000,,30,АВА,Краснодар
1170,менеджер,,40000,30,Роза Хутор,Сочи
1171,рабочий зала,25000,,30,Роза Хутор,Сочи
1172,горничная,25000,,30,Коттеджный комплекс ДжазЛоо,Сочи
1173,dubai duty,60000,61000,29,Глобал Вижн,
1174,менеджер,30000,100000,28,Успешное путешествие от А до Я,Краснодар
1175,менеджер,30000,35000,27,Модная компания,
1176,менеджер,30000,50000,27,Ефименко Д.А.,Сочи
1177,официант,40000,40000,26,Лукор,Сочи
1178,администратор,20000,,26,Luna Hotel Krasnodar,Краснодар
1179,официант,12000,100000,25,Геленджик-Отель,Геленджик
1180,хостес,20000,,25,Т-кафе,
1181,администратор,30000,48000,25,Коттеджный комплекс ДжазЛоо,Сочи
1182,шеф-аниматор,50000,,25,Курортная сеть Азовский,
1183,управляющий,35000,40000,24,Макарони,Новороссийск
1184,администратор,30000,,24,Витрина,
1185,управляющий,30000,150000,24,Куликов Михаил Валерьевич,
1186,менеджер,,50000,23,Мацони,
1187,администратор,27000,34000,23,Резиденция «Крымский Бриз»,Ялта
1188,официант,20000,40000,23,Резиденция «Крымский Бриз»,Ялта
1189,администратор,30000,,22,Отель Атлас,Краснодар
1190,повар,30000,42000,21,Ла Веранда,Анапа
1191,менеджер,30000,70000,20,ТК Дискавери Тур,Сочи
1192,администратор,28000,,20,La Terrassa,Сочи
1193,копирайтер/писатель для,3000,6000,20,Новикова Ольга,Сочи
1194,хостес,30000,40000,20,Альпийский дом,Сочи
1195,официант,22000,,19,«Донатс & Кофе» (ИП Степанов Е.И.),Краснодар
1196,event-менеджер,25000,,19,Фонд развития интернет-инициатив,
1197,повар,50000,50000,19,Чамян Саак Овакимович,Адлер
1198,визовый менеджер,30000,45000,19,Визовое Агентство,Краснодар
1199,администратор,20000,35000,19,Инал Бэй,Туапсе
1200,бариста,20000,,19,Ендальцев,
1201,администратор,20000,,19,ТОРГОВЫЙ ДОМ,Краснодар
1202,администратор,28000,29000,19,Аукцион,Красная Поляна
1203,бариста,,30000,19,Анастасиади Иван Иванович,Краснодар
1204,менеджер,49000,50000,19,Группа компаний Золотой пляж,
1205,администратор,20000,25000,18,Пуртухия,Сочи
1206,менеджер,20000,100000,18,Крицкий М.В.,
1207,визовый менеджер/менеджер,25000,50000,18,Аэро- Тревел,Краснодар
1208,бухгалтер-калькулятор,40000,,18,AYS GROUP,Сочи
1209,администратор,30000,,18,Твой бар,
1210,менеджер,25000,70000,17,Фирменный офис Слетать.ру г. Краснодар,Краснодар
1211,официант,35000,50000,17,Ларкин Т.Е.,Красная Поляна
1212,официант,45000,,17,Жуков Алексей Валерьевич,Краснодар
1213,чайный мастер/бариста,10000,10000,17,Чайна,Краснодар
1214,заместитель начальника,,45000,17,RODINA Grand Hotel & SPA,Сочи
1215,менеджер,45000,,17,Жуков Алексей Валерьевич,Краснодар
1216,менеджер,50000,60000,17,CRISTANVAL,
1217,портье,25000,,17,ГК Ялта-Интурист,
1218,менеджер,27000,35000,17,Управляющая компания «Русский Дом»,Сочи
1219,администратор,40000,,16,Гостинично-ресторанный комплекс Кипарис,Сочи
1220,стюардесса,800,1000,16,Школа морского сервиса Омегашип,Сочи
1221,повар-универсал,33000,,16,СТАРТ,Адлер
1222,менеджер,20000,45000,16,Мастер тур-Юг,Краснодар
1223,администратор,30000,35000,16,«Донатс & Кофе» (ИП Степанов Е.И.),Краснодар
1224,менеджер,20000,35000,16,Маринс Парк Отель Сочи,
1225,администратор,22000,35000,14,Пиратская пристань,Краснодар
1226,шеф-повар,60000,100000,14,Коннов Александр Владимирович,
1227,повар,35000,40000,14,Гостиница Алекс,Анапа
1228,администратор,25862,25862,14,Ибис Краснодар,Краснодар
1229,специалист,32000,,13,Отель Имеретинский,Адлер
1230,шеф-повар,50000,,13,"КРИНИЦА, ДСОК",Геленджик
1231,официант,30000,60000,13,ХоРеКа Инвест Групп,Краснодар
1232,су-шеф,42000,,13,ХоРеКа Инвест Групп,Краснодар
1233,повар ресторана,30000,45000,13,Жуков Алексей Валерьевич,Краснодар
1234,администратор,20000,,13,Райт,Анапа
1235,менеджер,20000,,13,Райт,Анапа
1236,администратор,20000,,13,Райт,Анапа
1237,менеджер,30000,,13,«Родина кейтеринг»,Краснодар
1238,администратор,30000,40000,13,«Родина кейтеринг»,Анапа
1239,официант,35000,40000,13,Кубано Клаб,
1240,менеджер,20000,25000,13,Геленджик-отель,Геленджик
1241,менеджер,30000,,13,Лазурный берег,
1242,официант,1000,1000,13,Ресторан-Гостиница Адам и Ева,
1243,официант,20000,,13,Маруха Анна Юрьевна,Краснодар
1244,официант,33000,33000,12,Rixos Krasnaya Polyana Sochi,Сочи
1245,реализатор экскурсий,40000,,12,Анастасия,
1246,официант,18000,,12,Отель КоржовЪ,Краснодар
1247,менеджер,30000,,12,Санинсайд,
1248,администратор,25000,,12,Маринс Парк Отель Сочи,Сочи
1249,менеджер,15000,25000,12,Atlas Hotel Management,Анапа
1250,cу-шеф/повар-универсал,1800,2200,12,Gold Fit&Spa,Краснодар
1251,авиакассир/ агент,,33000,12,Морское агентство группы Посейдон,Новороссийск
1252,менеджер,20000,45000,12,Coral Travel (ИП Серик Александра Николаевна ),
1253,менеджер,25000,,11,"Амиго-Турс, туристическое агентство",
1254,менеджер,40000,60000,11,DelMar Family Project,Сочи
1255,администратор,23000,,11,ГК Пегас,Краснодар
1256,портье,,35000,11,RODINA Grand Hotel & SPA,Сочи
1257,администратор,50000,,11,Fratelli group,
1258,менеджер,18000,23000,11,Единый Визовый Центр,Краснодар
1259,хостес,20000,,11,Fratelli group,Краснодар
1260,менеджер,35000,50000,11,РЦБ,Краснодар
1261,администратор,25000,25000,11,Оскар,Сочи
1262,менеджер,25000,,11,Оскар,Сочи
1263,администратор,15000,30000,11,БОСПОРВЫСОКИЙ БЕРЕГ-М,
1264,управляющий,30000,,10,Hotel Constanta,Сочи
1265,администратор,27000,33000,10,Sea Galaxy Hotel Congress & Spa,Сочи
1266,шеф-повар,50000,,10,Helenendorf,Краснодар
1267,ведущий менеджер,30000,35000,9,Планета Сочи,Сочи
1268,администратор,30000,50000,9,Крым-Автохолдинг,
1269,директор службы,80000,80000,9,Русский лес,Краснодар
1270,менеджер,30000,50000,9,Пуртухия,Сочи
1271,шеф-повар,50000,60000,9,ВИТАТЕХ,
1272,помощник руководителя,20000,45000,9,Вне зоны доступа,Краснодар
1273,специалист клиентской,18000,28000,9,Единый Визовый Центр,Краснодар
1274,менеджер,40000,,9,Единый Визовый Центр,Краснодар
1275,администратор,26000,,9,КСКК АКВАЛОО,Сочи
1276,официант,30000,,9,"Атон, отель-ресторан",Краснодар
1277,агент отдела,40000,80000,8,Ефименко Д.А.,Адлер
